"original_filename","trace_filename","chip","route","sha256","size_bytes"
"MPW43_STEP84A_220nmSOI_Slot3_RibWaveguideNoImplant_PropagationLoss_Manual_Chip40_WG1.txt","Chip40_WG1.txt","Chip40","WG1","52cdd1ba5383b5fd33151524a2c2846615e2e92a735fb204464626f08e4abc3b","653340"
"MPW43_STEP84A_220nmSOI_Slot3_RibWaveguideNoImplant_PropagationLoss_Manual_Chip40_WG2.txt","Chip40_WG2.txt","Chip40","WG2","585b2beb1b77127498b8e48a7745b7ce30b6813abbd1187c88c4509cb04b429e","655963"
"MPW43_STEP84A_220nmSOI_Slot3_RibWaveguideNoImplant_PropagationLoss_Manual_Chip40_WG3.txt","Chip40_WG3.txt","Chip40","WG3","0daf47eba6474336f0c301f00ea1c83c3f455f005bf7c63a81dd590089057a35","657567"
"MPW43_STEP84A_220nmSOI_Slot3_RibWaveguideNoImplant_PropagationLoss_Manual_Chip40_WG4.txt","Chip40_WG4.txt","Chip40","WG4","a6c8155e8ce63716516b2789ef0551b5981570976c621eef671aaa9b12f95f0a","660554"
"MPW43_STEP84A_220nmSOI_Slot3_RibWaveguideNoImplant_PropagationLoss_Manual_Chip40_WG5.txt","Chip40_WG5.txt","Chip40","WG5","1f5b191e332d2d401cda48483b1b423582f6dd7de1cfae779a7bbe1ad256fce3","663240"
"MPW43_STEP84A_220nmSOI_Slot3_RibWaveguideNoImplant_PropagationLoss_Manual_Chip40_WG6.txt","Chip40_WG6.txt","Chip40","WG6","e7a978d38cb3562cf9e1a7cd14d673e275361381215de8a205d8d7c5a1be4fd0","665105"
"MPW43_STEP84A_220nmSOI_Slot3_RibWaveguideNoImplant_PropagationLoss_Manual_Chip40_WG7.txt","Chip40_WG7.txt","Chip40","WG7","b48a88a20243854f597d3c0e706e43c077f33ad87ac2181b754c6b5781601acb","667979"
"MPW43_STEP84A_220nmSOI_Slot3_RibWaveguideNoImplant_PropagationLoss_Manual_Chip49_WG1.txt","Chip49_WG1.txt","Chip49","WG1","155ff52f8bf62a7a7fb4948ea227934368cf4f3b22cf0548dc1c83e020ae06bf","652307"
"MPW43_STEP84A_220nmSOI_Slot3_RibWaveguideNoImplant_PropagationLoss_Manual_Chip49_WG2.txt","Chip49_WG2.txt","Chip49","WG2","f993faacae1c77e8d90e5f3656169f3dd1073efffcbebb054dec4f921c9609ca","652826"
"MPW43_STEP84A_220nmSOI_Slot3_RibWaveguideNoImplant_PropagationLoss_Manual_Chip49_WG3.txt","Chip49_WG3.txt","Chip49","WG3","8b9c71a91289958d34e4b6435093eb9212f7dad155bae234c0b32415f4cafddb","654480"
"MPW43_STEP84A_220nmSOI_Slot3_RibWaveguideNoImplant_PropagationLoss_Manual_Chip49_WG4.txt","Chip49_WG4.txt","Chip49","WG4","cf2b732ca462db729f8b88bc20c3caf9f230e1726efbbe28f4760eec08318501","656642"
"MPW43_STEP84A_220nmSOI_Slot3_RibWaveguideNoImplant_PropagationLoss_Manual_Chip49_WG5.txt","Chip49_WG5.txt","Chip49","WG5","4ea58f419ee9865d37b9c37fc908fa0684f9dffac33d0919fe0dac3d7f370e9b","660353"
"MPW43_STEP84A_220nmSOI_Slot3_RibWaveguideNoImplant_PropagationLoss_Manual_Chip49_WG6.txt","Chip49_WG6.txt","Chip49","WG6","74885d0853b32da1d0af157e16b2ccb85d57b3129a4691ac4d99b1c26e63dbc5","663611"
"MPW43_STEP84A_220nmSOI_Slot3_RibWaveguideNoImplant_PropagationLoss_Manual_Chip49_WG7.txt","Chip49_WG7.txt","Chip49","WG7","1acfb1d311b727bad533bd558248cc364c13942648220c90d41d62f240f2b421","667279"
"MPW43_STEP84A_220nmSOI_Slot3_RibWaveguideNoImplant_PropagationLoss_Manual_Chip52_WG1.txt","Chip52_WG1.txt","Chip52","WG1","d69e03b205e27be1ac9aa005ea186967419c1fb335d130943d2e97ea813bf914","651725"
"MPW43_STEP84A_220nmSOI_Slot3_RibWaveguideNoImplant_PropagationLoss_Manual_Chip52_WG2.txt","Chip52_WG2.txt","Chip52","WG2","54c1874601786a1e2d8a349b5804bf3ee52a52b9d3f0be9a85753b45a7f0e6a7","653400"
"MPW43_STEP84A_220nmSOI_Slot3_RibWaveguideNoImplant_PropagationLoss_Manual_Chip52_WG3.txt","Chip52_WG3.txt","Chip52","WG3","30e615094edfbdcfbbccbcada9336cde063649a0950ae190096cd5b0345bd18b","655083"
"MPW43_STEP84A_220nmSOI_Slot3_RibWaveguideNoImplant_PropagationLoss_Manual_Chip52_WG4.txt","Chip52_WG4.txt","Chip52","WG4","d43f6acfa3fc71064f64dd6d1e3331e342905da83339ae7f27beb170b748714a","659446"
"MPW43_STEP84A_220nmSOI_Slot3_RibWaveguideNoImplant_PropagationLoss_Manual_Chip52_WG5.txt","Chip52_WG5.txt","Chip52","WG5","a717f148a5383c4ff565c53dd50391a4359de8609a9b3c18e1933bdbf359c255","665877"
"MPW43_STEP84A_220nmSOI_Slot3_RibWaveguideNoImplant_PropagationLoss_Manual_Chip52_WG6.txt","Chip52_WG6.txt","Chip52","WG6","ffe0d819d9de924b00d57ca400778f376323deaccb38b24ef54fb841ce0ffd7e","667673"
"MPW43_STEP84A_220nmSOI_Slot3_RibWaveguideNoImplant_PropagationLoss_Manual_Chip52_WG7.txt","Chip52_WG7.txt","Chip52","WG7","c6837d8fc20bc264590eed92dccbe93d7a1f151296c260f88d90f20699a36567","675023"
"MPW43_STEP84A_220nmSOI_Slot3_RibWaveguideNoImplant_PropagationLoss_Manual_Chip61_WG1.txt","Chip61_WG1.txt","Chip61","WG1","93362a09fc411cbd61c946dc3df35e50c0434cd64dfc883fd6fc1c5a0bee111c","654943"
