"original_filename","trace_filename","chip","route","sha256","size_bytes"
"MPW48_220NM_SOI_220nmSOI_Slot7_StripWaveguide_PropagationLoss_Manual_Chip13_WG1.txt","Chip13_WG1.txt","Chip13","WG1","8722d732727693611d9c5e2036d5e826defb3f3519c67164815353d88e1aaacc","661399"
"MPW48_220NM_SOI_220nmSOI_Slot7_StripWaveguide_PropagationLoss_Manual_Chip13_WG2.txt","Chip13_WG2.txt","Chip13","WG2","29c3dd57efd73d27fb4ff5f5f3cecc878938955e8c373498ecc3c8c286d6ed5a","639528"
"MPW48_220NM_SOI_220nmSOI_Slot7_StripWaveguide_PropagationLoss_Manual_Chip13_WG3.txt","Chip13_WG3.txt","Chip13","WG3","11eaefc4f1af9ee4bdc2eb3e8bc95d370ab89084208dc770bca1ce9a3aef2e03","651481"
"MPW48_220NM_SOI_220nmSOI_Slot7_StripWaveguide_PropagationLoss_Manual_Chip13_WG4.txt","Chip13_WG4.txt","Chip13","WG4","56e261d35eabb960abba88cf85373ac27cf50f85beaeff50f04e38dc8bbcbfa4","668064"
"MPW48_220NM_SOI_220nmSOI_Slot7_StripWaveguide_PropagationLoss_Manual_Chip35_WG1.txt","Chip35_WG1.txt","Chip35","WG1","6ab38c089a649e958581cbd42fd3ab7618c491940a6be6b6198e537e8a99ff33","661930"
"MPW48_220NM_SOI_220nmSOI_Slot7_StripWaveguide_PropagationLoss_Manual_Chip35_WG2.txt","Chip35_WG2.txt","Chip35","WG2","169e62f60c5791f1b49680c1907da9f5b4657a7fa272007abe7836f33cf0741a","665448"
"MPW48_220NM_SOI_220nmSOI_Slot7_StripWaveguide_PropagationLoss_Manual_Chip35_WG3.txt","Chip35_WG3.txt","Chip35","WG3","75be208cbd52df19eaceb153bc3f69d081a0d7230e68294b79bae0310f39fd60","666296"
"MPW48_220NM_SOI_220nmSOI_Slot7_StripWaveguide_PropagationLoss_Manual_Chip35_WG4.txt","Chip35_WG4.txt","Chip35","WG4","3bac9cd8c30dfcded2824e2979e6a8896540954f41a02d97463b3bf51a274edf","668377"
"MPW48_220NM_SOI_220nmSOI_Slot7_StripWaveguide_PropagationLoss_Manual_Chip38_WG1.txt","Chip38_WG1.txt","Chip38","WG1","399dfbeb3454e74374aebb862bb911ba03b551c86417fa4ac46915476d488c09","665315"
"MPW48_220NM_SOI_220nmSOI_Slot7_StripWaveguide_PropagationLoss_Manual_Chip38_WG2.txt","Chip38_WG2.txt","Chip38","WG2","e7ef9ea7edecae37fbe55ed6ab3274be09350b61c905773851a172fc9a4d4065","666046"
"MPW48_220NM_SOI_220nmSOI_Slot7_StripWaveguide_PropagationLoss_Manual_Chip38_WG3.txt","Chip38_WG3.txt","Chip38","WG3","7d38292fc178fc106c64bc880e6488527412f43f6befcfb0c4fa556279d137e4","667241"
"MPW48_220NM_SOI_220nmSOI_Slot7_StripWaveguide_PropagationLoss_Manual_Chip38_WG4.txt","Chip38_WG4.txt","Chip38","WG4","fa7300335ea24e6c5259f88a737c0dd17d3987258492ec37ff7af7362c466199","668748"
